country;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Peru;692;727;753;793;830;883;967;1040;1050;1110;1260;1240;1300;1350;;;;;
Philippines;519;522;555;575;576;568;582;585;589;638;643;664;683;696;;;;;
Poland;3260;3210;3320;3420;3440;3580;3660;3730;3590;3800;3880;3900;3940;3970;;;;;
North Korea;735;713;751;780;807;785;749;804;728;743;656;653;619;602;;;;;
Portugal;4120;4270;4380;4530;4680;4830;4890;4850;4840;4960;4850;4740;4690;4660;;;;;
Paraguay;870;881;836;824;860;916;979;1030;1090;1170;1270;1360;1460;1550;;;;;
Qatar;15.1k;15.9k;16.4k;16.4k;15.5k;15.5k;14.8k;14k;13.7k;14.2k;14.2k;14.9k;13.9k;14.8k;;;;;
Romania;2070;2080;2240;2300;2370;2450;2530;2610;2390;2550;2640;2600;2490;2580;;;;;
Russia;5270;5300;5480;5630;5770;6100;6290;6400;6100;6410;6490;6620;6540;6600;;;;;
Saudi Arabia;5950;6050;6500;6350;6620;6840;6940;7200;7480;7970;8020;8500;8780;9400;;;;;
Sudan;66.8;78.1;82.6;83.2;98.3;110;119;130;150;175;190;211;214;257;;;;;
Senegal;125;147;127;140;160;160;184;161;192;203;204;215;215;229;;;;;
Singapore;7520;7760;8110;8310;8680;8720;8710;8400;8110;8680;8650;8670;8680;8840;;;;;
El Salvador;627;667;694;690;755;817;882;856;846;857;881;916;959;937;;;;;
Serbia;4430;4480;4330;4260;3920;4040;4160;4290;4220;4360;4490;4390;4440;4270;;;;;
South Sudan;;;;;;;;;;;;41.4;43;43.6;;;;;
Suriname;2360;2540;2480;2590;2760;2760;2770;3030;3030;2980;3320;3310;3630;3600;;;;;
Slovak Republic;5030;5050;5020;5100;4930;5150;5270;5290;4950;5200;5350;5140;5200;5140;;;;;
Slovenia;6010;6380;6580;6830;6920;7120;7140;6920;6100;6510;6750;6720;6780;6730;;;;;
Sweden;16k;15.7k;15.4k;15.4k;15.4k;15.3k;15.3k;14.9k;14.1k;14.9k;14k;14.3k;13.9k;13.5k;;;;;
Syria;1140;1230;1290;1400;1500;1540;1540;1560;1520;1820;1670;1360;1070;975;;;;;
Togo;99;96.2;103;107;109;108;102;105;124;124;135;144;144;155;;;;;
Thailand;1500;1620;1710;1830;1910;2010;2080;2110;2100;2310;2280;2440;2510;2540;;;;;
Tajikistan;2140;2140;2140;2160;2150;2140;2070;1950;1910;1890;1810;1760;1690;1500;;;;;
Turkmenistan;1780;1780;1750;1910;2050;2120;2250;2320;2350;2380;2410;2430;2540;2680;;;;;
Trinidad and Tobago;4100;4080;4770;4700;5140;5310;5670;5710;5720;6190;6380;6610;6850;7090;;;;;
Tunisia;1040;1070;994;1030;1080;1110;1150;1190;1270;1360;1320;1410;1430;1450;;;;;
