country;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Guinea;55.7k;90.8k;112k;155k;189k;;2M;2.75M;3.49M;4M;4.86M;5.58M;7.44M;8.68M;10.8M;11.1M;11.7M;12M;12.9M;
Gambia;55.1k;100k;149k;175k;247k;404k;800k;1.17M;1.31M;1.48M;1.4M;1.53M;1.85M;2.28M;2.72M;2.84M;2.97M;3.18M;2.58M;
Guinea-Bissau;0;0;1280;39.5k;98.8k;157k;296k;500k;560k;677k;733k;1.05M;940k;1.11M;1.24M;1.29M;1.43M;1.48M;1.59M;
Equatorial Guinea;15k;32k;41.5k;61.9k;96.9k;120k;150k;180k;200k;399k;479k;501k;511k;517k;533k;576k;566k;591k;;
Greece;7.96M;9.31M;8.94M;9.32M;10.3M;11M;12.3M;13.8M;13.3M;12.3M;12.1M;13.4M;12.5M;12.1M;12.6M;12.5M;12.9M;12.2M;11.9M;
Grenada;6410;7550;42.3k;43.3k;46.9k;46.2k;51.4k;60k;114k;122k;121k;130k;133k;117k;120k;119k;113k;116k;;
Greenland;15.9k;19.9k;29.7k;39k;46.5k;53.9k;66.4k;55.8k;53.5k;57.3k;58.7k;59.5k;60.4k;60.8k;61k;;62.3k;61.4k;61.7k;
Guatemala;1.15M;1.58M;2.03M;3.17M;4.51M;7.18M;11.9M;14.9M;17.3M;18.1M;19.5M;20.8M;21.7M;16.9M;18.1M;18.3M;20M;20.5M;20.9M;
Guam;32.6k;70.5k;79.8k;98k;;;;;;;;;;;;;;;;
Guyana;75.3k;79.4k;138k;172k;281k;400k;539k;448k;489k;560k;529k;547k;555k;567k;543k;585k;643k;;;
Hong Kong;5.45M;5.78M;6.4M;7.35M;8.21M;8.54M;9.44M;10.8M;11.6M;12.6M;13.8M;15.3M;16.4M;17M;17M;16.7M;17.6M;18.4M;19.9M;21.9M
Honduras;238k;327k;379k;707k;1.28M;2.24M;4.18M;6.21M;8.39M;9.51M;8.06M;7.37M;7.77M;7.73M;8.05M;7.83M;8.23M;7.59M;7.56M;
Croatia;1.75M;2.31M;2.54M;2.84M;3.65M;4.4M;5.03M;4.55M;4.68M;4.93M;5.12M;4.97M;4.72M;4.46M;4.42M;4.41M;4.32M;4.39M;4.4M;
Haiti;91.5k;140k;320k;400k;500k;1.2M;2.5M;3.2M;3.65M;4M;4.2M;6.09M;7.16M;6.77M;7.3M;6.5M;6.31M;6.6M;6.84M;
Hungary;4.97M;6.89M;7.94M;8.73M;9.32M;9.97M;11M;12.2M;11.8M;12M;11.7M;11.6M;11.6M;11.7M;9.9M;9.95M;9.95M;10M;10.3M;
Indonesia;6.52M;11.7M;18.5M;30.3M;46.9M;63.8M;93.4M;141M;164M;211M;250M;282M;313M;326M;339M;386M;435M;319M;341M;
India;6.54M;13M;33.7M;52.2M;90.1M;166M;234M;347M;525M;752M;894M;865M;886M;944M;1B;1.13B;1.17B;1.18B;1.15B;
Ireland;2.97M;3M;3.5M;3.86M;4.27M;4.69M;4.97M;5.05M;4.7M;4.7M;4.91M;5.01M;4.88M;4.91M;4.9M;4.88M;4.9M;4.97M;5.16M;
Iran;2.09M;2.28M;3.45M;5.08M;8.51M;15.4M;29.8M;43M;52.6M;54.1M;56M;58.2M;65.2M;68.9M;74.2M;80.5M;87M;88.7M;118M;
Iraq;0;20k;80k;574k;1.53M;9.35M;14M;17.5M;20.1M;23.3M;25.5M;26.8M;32.5M;33M;33.6M;33.4M;33.4M;36.5M;37.2M;
Iceland;248k;260k;280k;290k;283k;302k;326k;337k;340k;341k;344k;352k;356k;370k;384k;402k;401k;411k;413k;
